year,report_code,corp_code,corp_name,stock_code,corp_cls,auditor_raw,auditor_group,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_opinion,revenue,revenue_account,revenue_fs_div,source_rcept_no,warnings
2023,11011,00925374,윤성에프앤씨,372170,K,대주회계법인,other_or_unknown,160000000,185000000,1488,1690,,,,,20240321000348,
2023,11011,00495633,율촌,146060,K,이촌회계법인,other_or_unknown,75000000,75000000,880,936,,,,,20240730000012,
2023,11011,00184889,이건홀딩스,039020,K,삼정회계법인,samjong_kpmg,90000000,90000000,900,904,,,,,20240320001837,
2023,11011,00364847,이글루,067920,K,삼일회계법인,samil_pwc,140000000,140000000,1150,990,,,,,20240314001113,
2023,11011,00145473,이글벳,044960,K,진일회계법인,other_or_unknown,100000000,100000000,820,772,,,,,20240321000587,
2023,11011,01264872,이노뎁,303530,K,대주회계법인,other_or_unknown,105000000,105000000,890,890,,,,,20240314001183,
2023,11011,01258710,이노메트리,302430,K,우리 회계법인,other_or_unknown,80000000,80000000,,766,,,,,20240320000351,
2023,11011,01700587,이노스페이스,462350,K,삼일회계법인,samil_pwc,150000000,150000000,1250,1392,,,,,20240321001042,
2023,11011,00965318,이노시뮬레이션,274400,K,한울회계법인,other_or_unknown,77000000,77000000,843,260,,,,,20240321001875,
2023,11011,01341630,이노에이엑스,296640,K,동현회계법인,other_or_unknown,87000000,87000000,1018,576,,,,,20240320000972,
2023,11011,01065679,이노인스트루먼트,215790,K,도원회계법인,other_or_unknown,130000000,130000000,1300,1300,,,,,20240321001892,
2023,11011,01419135,이노진,344860,K,한울회계법인,other_or_unknown,70000000,70000000,650,767,,,,,20240318000196,
2023,11011,01407158,이노테나,333050,K,선진회계법인,other_or_unknown,68000000,48000000,816,831,,,,,20240321000951,
2023,11011,00494476,이녹스,088390,K,한미회계법인,other_or_unknown,130000000,130000000,1300,1537,,,,,20240320001657,
2023,11011,01237540,이녹스첨단소재,272290,K,성현회계법인,other_or_unknown,220000000,220000000,2280,2287,,,,,20240320000188,
2023,11011,00353610,이니텍,053350,K,삼일회계법인,samil_pwc,185000000,185000000,1800,1709,,,,,20240320000014,
2023,11011,00338170,이닉스,452400,K,한영회계법인,ey_hanyoung,238000000,238000000,1587,1815,,,,,20240321000302,
2023,11011,01199189,이랜시스,264850,K,삼덕회계법인,other_or_unknown,70000000,70000000,699,780,,,,,20240315000635,
2023,11011,00206659,이랜텍,054210,K,삼일회계법인,samil_pwc,250000000,250000000,2300,2175,,,,,20240318000836,
2023,11011,00116426,이렘,009730,K,신한회계법인,other_or_unknown,165000000,195000000,1100,1299,,,,,20240320001102,
2023,11011,00390514,이루온,065440,K,다산회계법인,other_or_unknown,100000000,100000000,916,973,,,,,20240321000875,
2023,11011,00694942,이미지스,115610,K,삼화회계법인,other_or_unknown,110000000,110000000,864,750,,,,,20240319000856,
2023,11011,00533924,이브이첨단소재,131400,K,삼덕회계법인,other_or_unknown,208000000,208000000,1435,1667,,,,,20240321000554,
2023,11011,01135640,이삭엔지니어링,351330,K,성현회계법인,other_or_unknown,90000000,90000000,1094,1124,,,,,20240321000730,
2023,11011,00454399,이상네트웍스,080010,K,신한회계법인,other_or_unknown,65000000,65000000,1200,1542,,,,,20240320001784,
2023,11011,00526872,이수앱지스,086890,K,삼정회계법인,samjong_kpmg,180000000,180000000,1442,1518,,,,,20240314001516,
2023,11011,00273420,이스트소프트,047560,K,대주회계법인,other_or_unknown,170000000,170000000,1848,1791,,,,,20240320001567,
2023,11011,01128622,이스트에이드,239340,K,한울회계법인,other_or_unknown,75000000,75000000,660,690,,,,,20240320001024,
2023,11011,00400060,이씨에스,067010,K,한영회계법인,ey_hanyoung,139000000,139000000,1090,1384,,,,,20230608000220,
2023,11011,00530185,이엔에프테크놀로지,102710,K,동현회계법인,other_or_unknown,200000000,200000000,2374,2254,,,,,20240318000888,
2023,11011,00137289,이엘씨,041520,K,대성삼경회계법인,other_or_unknown,120000000,120000000,1259,1502,,,,,20240321001708,
2023,11011,00374020,이엘피,063760,K,정인회계법인,other_or_unknown,90000000,90000000,900,962,,,,,20240320001064,
2023,11011,00616290,이엠넷,123570,K,삼덕회계법인,other_or_unknown,210000000,210000000,1880,1561,,,,,20240320001533,
2023,11011,00475718,이엠앤아이,083470,K,삼정회계법인,samjong_kpmg,1000000,5000000,1800,1787,,,,,20240321001778,
2023,11011,00541163,이엠텍,091120,K,신한회계법인,other_or_unknown,140000000,140000000,1655,1728,,,,,20240412003916,
2023,11011,00246417,이오테크닉스,039030,K,한울회계법인,other_or_unknown,240000000,240000000,2800,2851,,,,,20240320001082,
2023,11011,01274310,이오플로우,294090,K,한울회계법인,other_or_unknown,170000000,170000000,1200,1146,,,,,20240319000863,
2023,11011,00409140,이원컴포텍,088290,K,삼덕회계법인,other_or_unknown,250000000,250000000,1010,1111,,,,,20240321001049,
2023,11011,01480568,이지바이오,353810,K,이촌회계법인,other_or_unknown,110000000,110000000,1557,1492,,,,,20240321001360,
2023,11011,00490090,이지케어텍,099750,K,대주회계법인,other_or_unknown,100000000,100000000,1000,1008,,,,,20230621000032,
2023,11011,01140837,이지트로닉스,377330,K,한미회계법인,other_or_unknown,80000000,80000000,660,870,,,,,20240321001134,
2023,11011,00242378,이지홀딩스,035810,K,삼덕회계법인,other_or_unknown,300000000,300000000,3000,3059,,,,,20240321001476,
2023,11011,00634728,이크레더블,092130,K,삼일회계법인,samil_pwc,170000000,170000000,1420,1300,,,,,20240320000350,
2023,11011,00788737,이퓨쳐,134060,K,현대회계법인,other_or_unknown,140000000,140000000,1049,1049,,,,,20240320000527,
2023,11011,00145668,이화공영,001840,K,광교회계법인,other_or_unknown,150000000,150000000,1150,1074,,,,,20240319000107,
2023,11011,00269922,인바디,041830,K,안진회계법인,deloitte_anjin,216000000,230400000,1800,1939,,,,,20240318000741,
2023,11011,00367871,인바이오,352940,K,삼덕회계법인,other_or_unknown,140000000,140000000,1133,1113,,,,,20240315000615,
2023,11011,00409371,인베니아,079950,K,삼정회계법인,samjong_kpmg,263000000,263000000,2221,2303,,,,,20240321001632,
2023,11011,01516456,인벤티지랩,389470,K,대주회계법인,other_or_unknown,650000000,650000000,650,645,,,,,20240320001901,
2023,11011,01243161,인산가,277410,K,이촌회계법인,other_or_unknown,88000000,88000000,860,902,,,,,20240319000174,document.xml returned an invalid archive
2023,11011,00375931,인선이엔티,060150,K,예교지성 회계법인,other_or_unknown,160000000,160000000,2000,1801,,,,,20240321001769,
2023,11011,00229021,인성정보,033230,K,삼정회계법인,samjong_kpmg,220000000,220000000,2200,2200,,,,,20240320001941,
2023,11011,01222113,인스웨이브,450520,K,삼정회계법인,samjong_kpmg,115000000,115000000,1363,1363,,,,,20240321002023,
2023,11011,00641171,인지소프트,100030,K,광교회계법인,other_or_unknown,130000000,130000000,1100,1080,,,,,20240425000292,
2023,11011,01013694,인카금융서비스,211050,K,신한회계법인,other_or_unknown,102000000,102000000,1860,1997,,,,,20240321002055,
2023,11011,00475976,인콘,083640,K,삼화회계법인,other_or_unknown,210000000,210000000,1437,1459,,,,,20240320000091,
2023,11011,00390408,인크레더블버즈,064090,K,삼일회계법인,samil_pwc,290000000,290000000,,1777,,,,,20240318000917,
2023,11011,00819073,인크로스,216050,K,삼정회계법인,samjong_kpmg,170000000,170000000,1670,2070,,,,,20240319000487,
2023,11011,00226866,인탑스,049070,K,삼덕회계법인,other_or_unknown,385000000,77000000,3400,3386,,,,,20240319000790,
2023,11011,00604426,인터로조,119610,K,삼일회계법인,samil_pwc,168000000,168000000,1400,1826,,,,,20240418000323,
2023,11011,00145914,인터엠,017250,K,신한회계법인,other_or_unknown,205000000,205000000,1367,1765,,,,,20231219000378,
2023,11011,00369170,인터플렉스,051370,K,이촌회계법인,other_or_unknown,284000000,170000000,2214,2263,,,,,20240315000891,
2023,11011,00479787,인텍플러스,064290,K,서우회계법인,other_or_unknown,154000000,154000000,1480,1431,,,,,20240320001790,
2023,11011,00664181,인텔리안테크,189300,K,동현회계법인,other_or_unknown,140000000,140000000,1777,1759,,,,,20240329002529,
2023,11011,00292434,인트론바이오,048530,K,예교지성회계법인,other_or_unknown,210000000,210000000,1700,1669,,,,,20240313001365,
2023,11011,00470829,인티큐브,070590,K,한영회계법인,ey_hanyoung,150000000,143000000,1360,1322,,,,,20240312000981,
2023,11011,00491415,인포바인,115310,K,삼일회계법인,samil_pwc,125000000,125000000,1220,1461,,,,,20240321001122,
2023,11011,00243757,인포뱅크,039290,K,삼정회계법인,samjong_kpmg,160000000,160000000,1680,1675,,,,,20240320001713,
2023,11011,00482426,인화정공,101930,K,안경회계법인,other_or_unknown,100000000,100000000,1500,1250,,,,,20240312000548,
2023,11011,01396676,일승,333430,K,광교회계법인,other_or_unknown,74000000,74000000,992,1033,,,,,20240320001390,
2023,11011,00385415,일신바이오,068330,K,서우회계법인,other_or_unknown,90000000,90000000,654,869,,,,,20240321000959,
2023,11011,00923826,일월지엠엘,178780,K,삼일회계법인,samil_pwc,200000000,200000000,1400,1457,,,,,20240802000089,
2023,11011,00146560,일지테크,019540,K,회계법인리안,other_or_unknown,240000000,240000000,1549,1457,,,,,20240314001418,
2023,11011,00485177,일진파워,094820,K,회계법인 리안,other_or_unknown,196000000,196000000,1565,1622,,,,,20240321001764,
2023,11011,01165739,잉글우드랩,950140,K,대주회계법인,other_or_unknown,150000000,150000000,1620,1620,,,,,20240321002012,document.xml returned an invalid archive
2023,11011,00261656,잉크테크,049550,K,인덕회계법인,other_or_unknown,85000000,85000000,875,1143,,,,,20240319000096,
2023,11011,01365038,자람테크놀로지,389020,K,삼덕회계법인,other_or_unknown,80000000,80000000,505,567,,,,,20240320000791,
2023,11011,01174038,자비스,254120,K,현대회계법인,other_or_unknown,86000000,86000000,860,882,,,,,20240320001540,
2023,11011,00418379,자연과환경,043910,K,대주회계법인,other_or_unknown,120000000,90000000,1501,1391,,,,,20240313000240,
2023,11011,01020524,자이글,234920,K,광교회계법인,other_or_unknown,69000000,105000000,730,1133,,,,,20240321001285,
2023,11011,01264438,자이언트스텝,289220,K,이촌회계법인,other_or_unknown,140000000,140000000,1230,1743,,,,,20240320001482,
2023,11011,00147082,재영솔루텍,049630,K,한영회계법인,ey_hanyoung,170000000,170000000,1750,1700,,,,,20240321001912,
2023,11011,01383229,저스템,417840,K,서현회계법인,other_or_unknown,135000000,135000000,1300,1306,,,,,20240321001625,
2023,11011,00632793,전진바이오팜,110020,K,동아송강회계법인,other_or_unknown,66000000,66000000,650,769,,,,,20240321001488,
2023,11011,01047415,정다운,208140,K,이촌회계법인,other_or_unknown,115000000,115000000,1153,1380,,,,,20240318000455,
2023,11011,00287788,정상제이엘에스,040420,K,대주회계법인,other_or_unknown,162000000,162000000,1352,1300,,,,,20240313000193,
2023,11011,00147772,정원엔시스,045510,K,도원회계법인,other_or_unknown,100000000,100000000,848,850,,,,,20240314000642,
2023,11011,00666204,제너셈,217190,K,삼덕회계법인,other_or_unknown,85000000,85000000,744,736,,,,,20240320001808,
2023,11011,00545929,제넥신,095700,K,삼정회계법인,samjong_kpmg,200000000,150000000,1800,1932,,,,,20240313000597,
2023,11011,00799539,제노레이,122310,K,신한회계법인,other_or_unknown,110000000,110000000,1201,1388,,,,,20240321000651,
2023,11011,01014718,제노코,361390,K,이촌회계법인,other_or_unknown,70000000,70000000,1000,867,,,,,20240318000003,
2023,11011,01062177,제놀루션,225220,K,대주회계법인,other_or_unknown,,,,,,,,,20240329002803,
2023,11011,00624998,제닉,123330,K,한영회계법인,ey_hanyoung,188000000,188000000,1315,1320,,,,,20240320001822,
2023,11011,00563837,제로투세븐,159580,K,광교회계법인,other_or_unknown,156000000,156000000,1500,1464,,,,,20240321000805,
2023,11011,00899556,제룡산업,147830,K,안진회계법인,deloitte_anjin,115000000,115000000,883,863,,,,,20240318000231,
2023,11011,00185356,제룡전기,033100,K,현대회계법인,other_or_unknown,140000000,140000000,1072,1115,,,,,20240318000327,
2023,11011,00442570,제우스,079370,K,삼덕회계법인,other_or_unknown,320000000,320000000,2200,2228,,,,,20240321001114,
2023,11011,00361381,제이브이엠,054950,K,도원회계법인,other_or_unknown,145000000,145000000,1554,1376,,,,,20240321001608,
2023,11011,00493185,제이스로보틱스,090470,K,대성삼경회계법인,other_or_unknown,150000000,112500000,1295,1368,,,,,20240321000944,
